-5:29 待機
-2:52 待機
0:05 こんはるー
0:30 こんはるー
0:43 ​こんはるー
0:47 こんはる
0:55 こんにちハルハル
0:55 こんはるー
1:30 こんはる
1:52 こんにちは
1:52 こんはる
1:54 こんはるー
2:36 こんはるーです！
3:07 こんはるー
3:21 久々に通知くんが生きてる
3:36 永遠に言ってる
3:37 こんはるーS3はフラットラインですか
3:37 フラットラインの横反動って抑えれるんですか？
3:54 \ｲｪｰｲ!!!/
4:01 なんとびっくり
4:20 しゅごい
4:22 すごいです！笑
4:24 やるは難し
4:45 パターンリコイル覚えたらいける！なお
4:46 こんはるー
4:56 レレレ撃ちするときに頭混乱しない？
5:02 リコイル覚えてるのすごいなぁ
5:22 こんはる〜
5:24 こんはるー
5:30 こんはる〜
5:53 もう等倍いらないじゃん
6:01 こんはるー
6:08 こんはるー
6:32 あとはサイト付いてた方がかっこいいじゃん？
6:37 こんはるー
7:14 まあ実際アサルトライフルって重いからね
7:21 エイム勝負になっちゃうねぇ
7:31 こんはる〜
7:38 こんはるー
7:49 2PTやれるのは草
7:58 こんはるー！
8:29 こんばんは
8:47 Twitter
8:52 こんにちはー
8:59 草
9:00 Ｌスター
9:02 Lスターくん・・・
9:02 こんはる
9:13 こんはるー
9:15 こんはるー
9:25 こんはる
9:47 虚空もポータルも強い
9:52 こんにちは
10:22 Aポーズバグすき
10:25 Ｔ！
10:39 レイスのが使用率上がるのかな
10:43 厳ついバッジしてるな
10:54 こんはるー
11:07 ブラッドハウンドはどうです？
11:14 レイスだと生存率上がってるなと思う
11:14 クリプトが案外居ない←
11:25 初手紫はあちち
12:03 こんはる〜
12:07 今のは敵でしたね・・・
12:59 挽回するしかない
13:15 クリプト強いと思うのは自分だけだろうか
13:15 クリプトって強いですのよね
13:35 草
13:37 このゲーム壊れてる
14:12 せっかくドローン出してもエイム強者に壊される
14:19 EMP
14:35 強すぎてびっくり
14:37 つよいねえ
14:42 ショットガンプロ
14:49 メイドインお寿司
15:13 今でも充分
15:16 スピファ強いですか？
15:19 カーゴボットの爆発で死にかけるのがつらい
15:20 たしかに
15:31 ハボック持ち替え遅い？
16:00 エネアモ武器故の悩み？
16:02 素ボックずっと持ってたくないからなあ
16:08 こんはるー
16:09 なんだかんだ
16:16 また、違う武器使ってたw
16:16 フラトラ前はボロクソ言ってたのにね・・・
16:21 使いこなせない状態から使わないといけないってことか
17:01 タボチャ拾えたら使おうくらい？
17:12 フラトラを信じて使い続けててほんとよかった
17:12 タボチャあったって喜んだらレシーバーだったこと多い
17:23 ないすぅ！
17:30 あれ？スピファイつよくね？←
17:31 一周回ってスピットファイアのヘッショダメージが評価されてきたな
17:31 ないすぅ
17:33 ないすぅ！
17:41 弾数の暴力がやばい
17:52 弾幕はパワーだからな
18:05 こんはるー
18:11 スピファ挙動が気持ち悪い
18:50 まあLMGだしね
20:14 何気にレイスオシャレだよね、ネイルとか塗ってるし
20:35 フラトラって近距離どれくらい火力でるの？
21:04 チャーライに横槍入れられるのホント嫌だな
22:08 ジブゲーミング
22:13 フラトラと
22:15 暑苦しいなぁ
22:17 ジブラルタル強いと思うんだ
22:21 こんはる
22:37 草
